Region,Location,Reef,Depht,Spp,Year.2,Number,Tag,Sample,Collection day,Notes,Depth.2
Pan_Chiriqui,Uva Island,M.intrincata Shallow,10,P.ele,2014,1,263-1,14_263-1,08/17/14,,Shallow
Pan_Chiriqui,Uva Island,M.intrincata Shallow,10,P.ele,2015,1,263-1,15_263-1,08/16/15,,Shallow
Pan_Chiriqui,Uva Island,M.intrincata Shallow,10,P.ele,2016,1,263-1,16_263-1,,,Shallow
Pan_Chiriqui,Uva Island,Coral Collection Point,24,P.dam,2014,1,264-1,14_264-1,08/18/14,,Shallow
Pan_Chiriqui,Uva Island,Coral Collection Point,24,P.dam,2015,1,264-1,15_264-1,08/18/15,,Shallow
Pan_Chiriqui,Uva Island,Coral Collection Point,24,P.dam,2016,1,264-1,16_264-1,04/17/16,,Shallow
Pan_Chiriqui,Uva Island,Coral Collection Point,20,P.dam,2014,1,265-1,14_265-1,08/19/14,,Shallow
Pan_Chiriqui,Uva Island,Coral Collection Point,20,P.dam,2015,1,265-1,15_265-1,08/18/15,,Shallow
Pan_Chiriqui,Uva Island,Coral Collection Point,20,P.dam,2016,1,265-1,16_265-1,04/17/16,,Shallow
Pan_Chiriqui,Uva Island,Coral Collection Point,20,P.dam,2014,1,266-1,14_266-1,08/19/14,,Shallow
Pan_Chiriqui,Uva Island,Coral Collection Point,20,P.dam,2015,1,266-1,15_266-1,08/18/15,,Shallow
Pan_Chiriqui,Uva Island,Coral Collection Point,20,P.dam,2016,1,266-1,16_266-1,04/17/16,,Shallow
Pan_Chiriqui,Uva Island,Coral Collection Point,20,P.ele,2014,1,268-1,14_268-1,08/19/14,,Shallow
Pan_Chiriqui,Uva Island,Coral Collection Point,20,P.ele,2015,1,268-1,15_268-1,08/18/15,,Shallow
Pan_Chiriqui,Uva Island,Coral Collection Point,20,P.ele,2016,1,268-1,16_268-1,04/18/16,,Shallow
Pan_Chiriqui,Uva Island,Coral Collection Point,20,P.dam,2014,1,269-1,14_269-1,08/19/14,,Shallow
Pan_Chiriqui,Uva Island,Coral Collection Point,20,P.dam,2015,1,269-1,15_269-1,08/18/15,,Shallow
Pan_Chiriqui,Uva Island,Coral Collection Point,20,P.dam,2016,1,269-1,16_269-1,04/18/16,,Shallow
Pan_Chiriqui,Uva Island,Coral Collection Point,20,P.ele,2014,1,270-1,14_270-1A,08/19/14,,Shallow
Pan_Chiriqui,Uva Island,Coral Collection Point,20,P.ele,2015,1,270-1,15_270-1A,08/18/15,,Shallow
Pan_Chiriqui,Uva Island,Coral Collection Point,20,P.ele,2016,1,270-1,16_270-1A,04/18/16,,Shallow
Pan_Chiriqui,Uva Island,Coral Collection Point,20,P.ele,2016,1,270-1,16_270-1B,04/18/16,,Shallow
Pan_Chiriqui,Uva Island,Coral Collection Point,20,P.ele,2014,1,271-1,14_271-1,08/19/14,,Shallow
Pan_Chiriqui,Uva Island,Coral Collection Point,20,P.ele,2015,1,271-1,15_271-1,08/18/15,,Shallow
Pan_Chiriqui,Uva Island,Coral Collection Point,20,P.ele,2016,1,271-1,16_271-1,04/18/16,,Shallow
Pan_Chiriqui,Uva Island,Coral Collection Point,20,P.dam,2014,1,272-1,14_272-1,08/19/14,,Shallow
Pan_Chiriqui,Uva Island,Coral Collection Point,20,P.dam,2015,1,272-1,15_272-1,08/18/15,,Shallow
